max-num-batched-tokens,max-num-seqs,swap-space,block-size,scheduler-delay-factor,gpu-memory-utilization,enable-chunked-prefill,enable-prefix-caching,disable-custom-all-reduce,use-v2-block-manager,latency_average,latency_p50,latency_p95,latency_p99,tokens_per_second_average,tokens_per_second_p50,tokens_per_second_p95,tokens_per_second_p99,time_to_first_token_average,time_to_first_token_p50,time_to_first_token_p95,time_to_first_token_p99,time_per_output_token_average,time_per_output_token_p50,time_per_output_token_p95,time_per_output_token_p99
5477,134,3,16,1.7,0.82,True,False,False,False,13.003724178635933,2.529356002807617,59.71190011501312,59.74115455150604,13.985277715833494,19.743859992532126,0.8373540273327754,0.8369439867392525,9.874373964516511,0.4589931964874267,57.6434263586998,57.66492469310761,0.2603386881383577,0.0506487154960632,1.1942380023002626,1.194823091030121
5864,1673,8,8,1.49,0.91,False,True,True,True,2.442661553621292,2.3840402364730835,3.145753729343414,3.157432610988617,20.567456216196163,20.97042746745415,15.894442679596777,15.835650746419198,0.3432026922702789,0.2594294548034668,1.0338131546974183,1.0734946846961977,0.0490381053388118,0.0476862001419067,0.0629150745868682,0.0631486522197723
5259,1423,6,8,0.96,0.73,True,False,False,True,2.528261911869049,2.5112552642822266,3.107417869567871,3.130535542964936,19.80974658442293,19.903948818875,16.09053675785363,15.971708142046944,0.4395405137538909,0.4275064468383789,0.9658738732337953,1.0400923776626587,0.0507799992163975,0.0502412867546081,0.0621483573913574,0.0626107108592987
6406,1512,7,32,1.74,0.92,True,True,False,True,2.6922585487365724,2.696946740150452,2.717924427986145,2.723756470680237,18.57311385630042,18.539484019230315,18.39639776936525,18.35702336951939,0.439731764793396,0.4931517839431762,0.4965909957885742,0.4988762664794922,0.0538451709747314,0.053938934803009,0.0543584885597228,0.0544751294136047
4340,493,8,32,0.99,0.9,False,False,True,False,2.4860341584682466,2.5241619348526,2.868332624435425,2.8974781370162965,19.969937400098924,19.800210935905923,17.40689501382655,17.212830527423186,0.4656075072288513,0.4565260410308838,0.8170803427696228,0.8215357851982117,0.0503743510593135,0.0505045127868652,0.0574484996795654,0.0581074092051561
6656,824,6,8,0.71,0.87,False,False,False,False,2.5478257393836974,2.577231287956238,2.6593206882476808,2.680812792778015,19.48939148271036,19.376077444569592,18.755766070330928,18.52377100520654,0.4412434041500092,0.451654314994812,0.5243204712867737,0.5397369408607483,0.0513761633291203,0.0516100335121154,0.0533169374465942,0.0539906621786263
7773,980,4,32,0.32,0.87,False,True,True,False,2.334114509820938,2.340253949165344,2.489078664779663,2.5158207249641418,21.36188022616528,21.363998029393134,20.032037070377573,19.871565338350266,0.253164290189743,0.2377454042434692,0.4311749935150146,0.4368283128738403,0.0468898697027793,0.0468077182769775,0.0499200356006622,0.0503231643676757
5561,1043,7,32,0.05,0.81,True,True,False,True,2.5026626586914062,2.5148783922195435,2.535420680046081,2.5356058645248414,19.98152001402585,19.8816831418288,19.72059327883401,19.71915303186691,0.4217923521995544,0.421269416809082,0.4308736562728882,0.4315516996383667,0.0500532531738281,0.0502975678443908,0.0507084136009216,0.0507121172904968
7413,1204,4,16,1.58,0.76,False,False,False,True,2.587807751893997,2.5747472047805786,2.7336493253707883,2.7581336379051207,19.283412511729047,19.388961028093743,18.27270665045065,18.105225302286023,0.4369363617897033,0.4685468673706054,0.5705850005149841,0.592174859046936,0.0519361119725487,0.0515757393836975,0.0547264311313629,0.0552326780796051
4219,203,1,8,1.57,0.81,False,True,False,True,5.526859107837882,2.413466691970825,23.99439311027527,32.273796224594115,18.3820843796906,20.71056493519523,2.0838202199185085,1.549244461477715,3.552907966798352,0.2728506326675415,21.908122181892395,30.09811071157456,0.1108709848782462,0.04828453540802,0.4798878622055054,0.6454759244918824
